iteration,cycles,instructions,cache-misses,branch-misses,page-faults,context-switches,cpu-migrations
0,274419499,614490518,158205,361902,1785,64,8
1,270433925,613898112,119300,369627,1789,55,7
2,260852653,606202457,104138,307876,1463,46,6
3,271370912,613866023,115517,358733,1782,46,4
4,264948587,606476669,122775,321866,1462,53,5
5,274394441,614518044,128867,366485,1780,55,6
6,264885370,606803602,103443,308835,1465,39,1
7,273256473,614279911,127436,365691,1777,54,2
8,263475115,606818442,117974,315325,1464,52,3
9,270139741,613874352,125470,356682,1781,45,0
10,266225174,606722161,110133,311817,1463,44,6
11,275948044,614544972,121219,363348,1788,60,11
12,272105394,614716203,117929,365407,1786,57,5
13,263092131,607130899,123096,314614,1466,56,6
14,271370787,614475418,128235,357733,1782,46,8
15,272184913,614753106,124744,363832,1786,59,10
16,270935226,614878374,118569,367071,1787,62,10
17,264970733,606991965,121506,316182,1459,52,7
18,273853591,614331304,146181,362287,1781,54,9
19,264701440,607191498,130015,315817,1463,60,5
20,271901262,614472613,138381,360721,1785,64,6
21,263671980,607362436,117733,313392,1461,52,7
22,263371114,606763287,113102,314532,1462,43,6
23,272467202,613914725,121348,360567,1779,49,5
24,270777806,614054032,123948,357373,1784,47,9
25,272185299,614255291,131944,362119,1790,57,9
26,262378828,606940913,120864,308304,1465,41,3
27,270189255,613895511,114738,355351,1781,44,5
28,271423668,614511930,124350,361011,1785,57,11
29,267865020,606686509,101328,312806,1463,41,3
30,263582059,607049731,119020,314800,1467,55,7
31,264441222,605986187,115349,311715,1462,39,2
32,273724348,614696782,121048,363085,1784,56,7
33,263661702,607375323,113983,313718,1464,51,6
34,265821278,607213011,119806,308460,1463,55,2
35,273105695,613957217,142470,365127,1790,68,14
36,263069422,606582671,107831,311047,1463,52,4
37,266939652,606705070,117739,315851,1466,52,7
38,267535647,607200877,115775,317574,1461,53,8
39,270935293,614196239,125980,359475,1780,57,7
40,270348946,614213615,124907,353319,1781,46,7
41,261835324,607128384,124079,307548,1457,40,7
42,270230672,613952199,113863,362044,1775,46,5
43,263059480,607148137,111955,306694,1462,43,6
44,276225378,614299329,121998,363236,1781,53,4
45,271459053,614199809,121669,366589,1780,54,8
46,271092488,614010731,113371,358523,1783,55,9
47,270789358,614311634,126464,359375,1778,45,2
48,263033424,607237474,119630,314974,1463,52,7
49,262835586,606813388,113759,308815,1466,52,5
50,269857770,614145154,117035,363262,1780,57,6
51,264513179,607031907,117833,319474,1465,54,5
52,260609560,606816920,105710,306570,1462,41,4
53,264601135,606447906,106164,310228,1459,40,6
54,284868204,613873477,119318,357166,1784,43,4
55,265797118,606451252,119038,315837,1464,45,3
56,270115618,614293317,115047,364137,1783,55,7
57,263348066,606384110,113866,313421,1461,40,1
58,264115817,606640062,113156,309309,1461,46,3
59,272262892,614255036,111534,354122,1785,43,8
60,263955061,607253703,104562,314241,1464,43,4
61,262315509,606464211,109045,310307,1467,51,5
62,265824426,606669863,111601,320086,1466,55,8
63,272572140,614586278,120574,365298,1783,62,5
64,273325046,614186985,128857,354701,1781,45,4
65,271629597,614047431,122059,361683,1787,54,6
66,271179268,614321761,128693,360671,1784,58,4
67,263063094,606776665,110241,308150,1463,43,3
68,268874962,614381196,118635,357469,1786,55,5
69,270993792,614555964,119509,364913,1786,61,10
70,265909352,606801922,108346,315650,1463,55,8
71,261472082,606180274,101871,309361,1461,43,6
72,270587896,613713826,120192,359562,1787,42,5
73,261772421,606635913,104576,305361,1463,41,1
74,272590307,614459025,126453,356835,1782,56,5
75,264393412,606102095,113362,307012,1462,41,6
76,270370233,614323644,121939,354885,1783,52,4
77,269023854,614072934,115134,361071,1782,44,3
78,270322616,614156722,124346,362015,1784,55,7
79,270683172,614317813,115763,357544,1785,60,5
80,273446902,614648032,123879,363658,1781,45,4
81,270245485,614547816,123748,358845,1787,56,5
82,264356635,606911480,110985,312615,1464,50,8
83,264340222,607477358,120603,320730,1467,55,6
84,268147088,614256340,97600,354636,1776,43,10
85,262740751,607170415,107381,315882,1463,55,7
86,263786962,606963434,109619,315522,1461,51,7
87,269190250,613789728,114600,361508,1784,46,4
88,269133178,614269738,118711,358808,1785,57,5
89,268416440,613810257,109676,364560,1787,53,3
90,269190730,614153836,114420,359208,1783,58,7
91,263183833,606472456,112107,316159,1465,51,7
92,263547921,606757831,108026,306241,1463,40,7
93,268988435,614016139,115432,355983,1780,46,4
94,272960898,614295913,149139,367695,1783,58,8
95,269040609,613658173,113261,363160,1783,43,6
96,269596965,614642238,115326,364536,1782,56,9
97,270262001,613648204,118845,363243,1786,59,8
98,272261886,614321018,122763,368014,1790,62,11
99,269882504,614374006,131591,361401,1787,58,10
