iteration,cycles,instructions,cache-misses,branch-misses,page-faults,context-switches,cpu-migrations
0,113826918,179568216,235849,547404,2494,64,5
1,118195255,180035537,242964,549328,2519,65,3
2,114032214,179247443,247262,546780,2497,65,6
3,116079598,179847162,235688,552546,2499,72,2
4,115419215,179952621,204027,551515,2495,65,2
5,116215641,179711965,228111,552966,2495,70,3
6,133041212,179646554,289451,560003,2502,67,7
7,116190367,179867700,211355,553015,2510,64,5
8,119062282,179969960,234330,540665,2518,64,7
9,114713691,179540426,214593,548453,2496,64,3
10,117987996,179751286,218937,535769,2496,64,4
11,117429818,180026762,224001,542059,2534,65,6
12,118954900,180348527,219353,548064,2494,72,3
13,113097356,180024351,198502,560735,2533,68,2
14,120151253,179787692,221508,554515,2528,66,3
15,114732463,179834613,228321,558954,2508,68,3
16,111115839,179638587,242015,539063,2498,65,8
17,115588029,180270654,227905,541105,2520,63,2
18,115739957,179783691,214863,554436,2490,66,4
19,115987679,179446284,219629,555716,2496,64,6
20,122980672,180645983,225829,550708,2529,65,4
21,119662889,179931154,227064,549898,2496,64,1
22,116481449,179988761,226525,557266,2501,68,4
23,114442056,179167168,220805,540530,2494,63,3
24,116692885,179611726,204903,548743,2493,65,4
25,115219276,180147543,223732,558932,2533,64,7
26,111393592,179725686,204175,549210,2500,67,5
27,118507144,180021833,228223,545777,2508,68,6
28,114759542,179879950,230988,549539,2493,66,4
29,113735031,179505556,222719,546361,2495,69,7
30,114247771,179976540,238027,547257,2497,71,5
31,114094312,180049952,222696,546267,2492,66,3
32,112268396,179249427,211501,548981,2499,63,3
33,116005941,179557047,217227,540274,2495,65,6
34,116520978,179459469,229683,530894,2516,64,4
35,116546759,179783030,235949,552229,2504,66,8
36,113959637,179458928,233495,543257,2493,66,5
37,113705827,180261732,224468,556117,2496,65,6
38,116499063,179758508,221318,557040,2514,63,3
39,117838873,180284197,222606,544987,2495,67,3
40,117781107,180114325,214505,558509,2503,70,2
41,114103375,179826027,206762,543008,2493,69,2
42,113734946,179904522,225877,560335,2524,69,5
43,120672140,179847776,215650,549448,2501,61,3
44,112815795,179834895,212097,548972,2507,64,4
45,114166421,180018015,212239,550655,2492,65,6
46,115794158,180422800,235598,554415,2524,62,6
47,119077446,179860928,246856,553696,2496,66,5
48,116834112,179604460,217888,548800,2498,66,2
49,117129676,179653456,214645,551046,2495,65,6
50,114638137,179590594,220884,559603,2503,67,7
51,118871453,180292948,229918,545517,2530,65,4
52,115420139,179393436,233435,558409,2496,65,7
53,118266360,179518581,242083,534855,2492,63,6
54,120676039,180102308,221606,563436,2522,70,6
55,115458853,179624006,220100,545607,2512,65,2
56,117292390,179671881,218432,553122,2517,68,3
57,113900119,180013261,218640,552505,2500,67,3
58,111469046,180035282,213921,538359,2500,64,3
59,112973099,179908220,214729,548607,2518,69,10
60,111317183,179136608,197553,556079,2499,65,3
61,114356555,180074667,202247,546728,2498,65,3
62,125655021,180250270,226610,566581,2530,68,4
63,114515036,179678319,226882,540611,2508,65,4
64,129504041,179821462,262357,565101,2496,63,7
65,115141652,179390219,238760,563695,2498,65,1
66,121314415,179937043,219944,565114,2497,64,4
67,113010449,179752652,208871,542547,2497,73,2
68,114237476,179756354,213006,552751,2500,63,6
69,114821411,179640596,234579,551198,2491,68,3
