test_run_id	role	test_type	openssh_branch	key_label	n_rows	cycles_avg	cycles_std	cycles_p50	cycles_p95	cycles_p99	cycles_min	cycles_max	instr_avg	instr_std	instr_p50	instr_p95	instr_p99	instr_min	instr_max	br_avg	br_std	br_p50	br_p95	br_p99	br_min	br_max	ipc_avg	ipc_std	ipc_p50	ipc_p95	ipc_p99	ipc_min	ipc_max	bpc_avg	bpc_std	bpc_p50	bpc_p95	bpc_p99	bpc_min	bpc_max
1	client	classical	9.2p1	RSA(2048)	1001	32670959.6134	284045.2849314813	32644650	33222227	33349411	31921282	33762292	73903161.1369	78900.01316721336	73901621	74028048	74086070	73683758	74149317	136403.2228	2161.982596905137	136271	140239	142307	131169	144044	2.2622124025944044	0.019490267307947087	2.264186381	2.289286336	2.292918	2.188612698	2.315519846	0.004175301952047951	0.00007132667484763093	0.004173972	0.004299733	0.004354068	0.004015213	0.004426304
1	server	classical	9.2p1	RSA(2048)	1001	89576566.2028	680217.2307667533	89540747	90685037	91419752	87403169	92915549	146165106.042	212952.0504416748	146150240	146541090	146823495	145574323	147211297	387393.3896	2977.7323462749137	386706	393389	396136	379557	399988	1.6318238697522462	0.012107997314046619	1.632212621	1.649403943	1.65902213	1.57228472	1.672170673	0.004324949565434565	0.0000451187469736247	0.00432234	0.004402884	0.004441812	0.004163446	0.004479607
10	client	hybrid	10.0p1-7	RSA(4096)	1001	64440177.7483	280913.1881017451	64425472	64914819	65146563	63154974	65450834	169545499.1818	230739.60628787978	169544589	169902039	170099735	168805254	170311946	180894.8152	2274.742947413882	180637	184965	186744	175231	189732	2.6310968310619374	0.01068189414359017	2.631674578	2.646439472	2.655592958	2.592997806	2.682654655	0.002807190900099902	0.000034512467355116966	0.002804295	0.002867243	0.002893656	0.002705705	0.002927496
10	server	hybrid	10.0p1-7	RSA(4096)	1001	134367694.7982	822227.3982440298	134362965	135768463	136510574	131586247	137560384	270712074.5425	401309.26248552377	270697527	271401824	271713804	269477983	272628668	473200.1249	4377.359928243362	473007	480897	484067	462011	487959	2.014780659919081	0.011742954016460055	2.01504694	2.032660231	2.041163881	1.973144715	2.051331871	0.00352178226773227	0.0000362712734284895	0.003520438	0.003583441	0.003608804	0.003407353	0.003625526
11	client	hybrid	10.0p1-7	Ed25519(256)	1001	36782758.0729	431450.6640154774	36693757	37740892	38312935	35553915	38785527	90608607.0659	165252.68460751738	90614678	90873546	90960033	90069284	91208007	150742.1219	2094.0010824091964	150643	154300	155781	144326	159035	2.463668191250749	0.02796666276848948	2.469299727	2.495739479	2.512885599	2.337044434	2.545726033	0.0040986198051948045	0.00006791016356143617	0.00410051	0.004207385	0.004248806	0.003873822	0.004371164
11	server	hybrid	10.0p1-7	Ed25519(256)	1001	89426606.4895	807640.8616435538	89399938	90875581	91667066	87064540	92191949	145942911.5854	250165.71367145935	145915997	146405172	146627585	145275020	147113637	408445.953	4078.8898157210733	408206	415755	418547	398600	422798	1.6321138323386621	0.014506829504045334	1.632819151	1.6547337	1.662586553	1.584384217	1.676312147	0.004567715651348657	0.000058178350279217684	0.004567963	0.004667645	0.004703831	0.004388702	0.004750103
12	client	hybrid	9.7-LibOQS	RSA(3072)+FALCON(512)	1001	46389511.4266	222886.04262522142	46359076	46823234	46963647	45823993	47402548	110202899.6833	141605.32016892175	110204367	110435790	110506366	109823647	110775516	200402.6833	2508.8925745458578	200243	204648	206666	192894	210760	2.3756551113316675	0.011980801289641848	2.377397112	2.392351413	2.397752842	2.325441936	2.400951484	0.004320061456543456	0.00005503260848442825	0.00431912	0.004413617	0.004451111	0.00416053	0.004524011
12	server	hybrid	9.7-LibOQS	RSA(3072)+FALCON(512)	1001	104298268.6943	564190.7084621225	104283219	105218764	105829648	102118281	106744727	203686531.1588	278472.46958580764	203674990	204135711	204381808	202821578	204818774	424782.4575	3035.6061573342413	424751	429773	432493	415765	436987	1.9529780130139847	0.010440222632515482	1.952926513	1.969534499	1.978847869	1.908997172	1.994531909	0.004072874980019976	0.00003537938398926161	0.004074252	0.00413019	0.004154905	0.003937944	0.004211038
13	client	hybrid	9.7-LibOQS	RSA(3072)+ML-DSA(44)	1001	46069323.0809	238679.01056098807	46047281	46490473	46780142	45429589	47310874	109687634.3457	402766.44954942627	109594276	110474584	111072464	109031598	111996406	200280.004	2555.034682344649	200114	204758	206904	192947	210222	2.3809570285864154	0.008591421635718322	2.381352381	2.394808449	2.401186239	2.337614347	2.404121965	0.004347437280719278	0.0000568386890597603	0.004344955	0.004442501	0.004485598	0.004170097	0.00454707
13	server	hybrid	9.7-LibOQS	RSA(3072)+ML-DSA(44)	1001	104485453.2018	598810.5467553841	104476959	105480432	105867621	100713691	106819282	204100189.3397	463584.37449915434	204038303	204952119	205554341	203034844	206919588	427228.1249	2868.850537652773	427245	431714	435137	417269	438283	1.9534390829880104	0.010518095669998145	1.953215646	1.96948346	1.978263398	1.917616577	2.021423333	0.004088990327672329	0.00003376961297010285	0.004088785	0.004143005	0.00416665	0.003983523	0.004277472
