iteration,cycles,instructions,cache-misses,branch-misses,page-faults,context-switches,cpu-migrations
0,114613695,178196564,228342,452159,2492,61,7
1,111179623,177484044,220953,451422,2486,57,1
2,109758213,178139209,208070,458220,2478,55,1
3,113046226,178702944,222326,455491,2510,52,5
4,115556383,178839403,232620,462636,2509,63,2
5,111428539,178384827,205130,462759,2486,55,3
6,110608560,177981004,211909,454797,2479,59,1
7,115097902,178224549,211825,457050,2477,53,3
8,110832143,177929489,213035,457259,2507,54,3
9,108375826,177957031,193356,454506,2476,53,2
10,114521508,177836806,193362,457785,2486,52,5
11,113796786,177892861,228309,455322,2481,55,4
12,119753498,178628488,244988,462286,2512,54,2
13,112685514,177749877,212864,454697,2483,53,1
14,107507587,177090115,191900,449431,2486,53,1
15,108401636,178201261,209808,453962,2505,54,3
16,116569416,177533649,216633,455427,2471,56,3
17,114071653,178267153,229456,458520,2507,61,5
18,115728668,177888652,240854,456151,2479,55,2
19,113258660,177325617,227800,450412,2490,52,1
20,111597131,178204200,208912,458355,2482,55,3
21,111556764,178067294,231632,461654,2520,61,5
22,108594118,177769450,199124,455043,2481,54,5
23,115949688,178330041,209981,461836,2510,57,2
24,109877917,177417471,217045,450385,2483,56,6
25,108853644,178037524,198061,451412,2498,52,3
26,111792069,177504438,221260,451317,2476,53,3
27,107495308,177858772,180063,457231,2482,54,1
28,114034590,178363317,227122,459314,2519,52,3
29,108918520,178255396,191581,459104,2474,56,3
30,109198905,177884710,205123,454711,2488,53,4
31,111118542,178186578,215247,456486,2484,53,4
32,112522265,177706713,201707,454161,2481,53,0
33,116552305,177745393,256024,457851,2478,53,2
34,109086349,177677497,203024,448157,2490,55,2
35,109530126,177832267,206143,449133,2480,52,6
36,114766068,178365270,249078,456689,2514,55,4
37,111955655,177576742,222185,454260,2477,59,7
38,114141984,177912723,210839,456064,2482,57,3
39,112416062,177867299,224235,458384,2511,56,7
40,110036560,178236682,214099,453871,2485,54,2
41,107817545,178149844,198040,460155,2502,55,3
42,110882614,177935159,223804,457464,2494,56,5
43,108089664,177843044,186680,453103,2486,53,3
44,113500787,177821818,232995,459316,2482,58,3
45,114701135,178194464,234850,457803,2516,55,4
46,113013119,177764045,223807,458375,2481,56,4
47,111894603,177863316,208132,452282,2477,54,4
48,111671904,177838700,222688,453053,2482,57,3
49,108533957,177577720,201557,450027,2479,54,0
50,113168485,177699409,214845,453550,2484,54,3
51,110374442,177822892,206879,456370,2475,54,0
52,107982113,177336502,197505,449748,2481,53,3
53,111039402,177664623,197943,451927,2483,52,3
54,112477854,177977745,224460,451418,2484,54,2
55,108728811,178119393,195277,453265,2507,54,6
56,111534504,178171257,204167,459506,2496,54,4
57,111906534,178636652,215669,457201,2520,59,4
58,111872037,178566245,226491,459664,2521,63,4
59,110863767,178277844,225351,459426,2514,58,4
60,110134442,177947869,207163,455690,2490,52,1
61,106566385,177280653,196226,450087,2483,55,1
62,117894691,178265677,221766,460915,2481,51,2
63,116119770,178259673,206322,455652,2508,56,5
64,112319873,177765037,212119,457355,2490,53,4
65,117447866,178619779,214856,460136,2510,56,2
66,113498992,178101566,217637,457018,2502,54,3
67,108811149,177382236,222425,453521,2479,53,3
68,109516880,178165625,217040,459310,2476,58,4
69,109400738,177838424,204250,459723,2518,58,1
70,112742190,177645695,218203,458596,2497,54,4
71,113092463,177645551,224132,454908,2476,58,1
72,111276917,178181808,214600,455079,2479,54,3
73,110769346,177480065,215045,454892,2475,58,4
74,113701396,178108039,235856,462678,2521,57,8
75,114727866,177986945,230851,456082,2482,57,1
76,110896026,177826416,213477,455607,2478,56,2
77,112688382,178779528,230120,457916,2516,53,7
78,112185236,177865851,223701,455333,2484,52,4
79,111211411,177808157,197943,455930,2486,54,6
80,110653126,177547998,206918,451547,2481,53,0
81,110417580,178019397,200443,454883,2482,52,4
82,110428981,177694603,216136,454714,2475,58,1
83,113081933,177876119,239291,458186,2489,55,8
84,110426790,177906212,211376,452843,2481,53,2
85,110599530,178125271,199607,457330,2483,54,7
86,110505972,177414682,196033,452831,2480,55,2
87,109537687,177737236,200511,456361,2482,54,1
88,110423780,177927743,224662,456603,2503,56,2
89,113545093,178151035,227757,454961,2500,55,2
90,109937480,177988920,212189,457895,2487,59,4
91,108267855,178051011,215321,460682,2493,57,5
92,108667977,177596376,222394,449178,2486,54,1
93,112569802,177398608,221766,456431,2489,51,2
94,111918098,178119296,237455,458703,2510,56,8
95,109344347,178238675,210636,456393,2479,60,4
96,113484388,177590421,225136,454060,2473,58,2
97,110743681,177493587,208726,451375,2478,54,4
98,106445433,177849886,192240,453553,2479,54,4
99,109556679,178191738,209979,450865,2484,54,4
